,hinc00,medhval00,pop00,medrent00,popden00,pag25up00,percol00,pasian00,carcommuters_00,per_rent_00,TOD,phisp00,pernwh00,pnhblk00,unempden00
Logit_Raw,-2.2901945052590763e-05,-2.065707607627928e-06,-1.092060260286906e-06,-2.1044824476685328e-07,-2.5954877811594356e-09,-2.330389687413589e-10,-1.2284085017999497e-10,-1.1657055200251465e-10,-9.33261108707269e-11,-7.582263586592675e-11,-1.1064491500063134e-11,1.2538166268530828e-10,1.8512793313997835e-10,1.90424873225862e-10,4.048585205202084e-08
DT_Raw,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
RF_Raw,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
SVM_Raw,-5.121740246186614,-1.0382422854023858,-0.5769449772174778,-0.010500315794916473,-0.09272637823671537,-3.397644118414746,-0.0042763898341419,3.4955165016004655,-0.008124464936403019,-1.521333858925783,0.15894583943359608,5.719764754123027,-4.863212571907803,5.342873777873132,1.7140368684618128
Logit_Scaled,-0.5628652805203125,-0.11871070026650825,-0.045322105105269433,-0.002085952892418144,-0.013947956613928867,-0.3694631233191312,-0.00022088210130486027,0.4792289523268478,-0.0018333783912157387,-0.37906158630962955,0.061921838073731965,1.3478042806075345,-1.5914694355138819,1.7313952727495285,0.08137171996171591
DT_Scaled,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
RF_Scaled,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
SVM_Scaled,-5.121740246186614,-1.0382422854023858,-0.5769449772174778,-0.010500315794916473,-0.09272637823671537,-3.397644118414746,-0.0042763898341419,3.4955165016004655,-0.008124464936403019,-1.521333858925783,0.15894583943359608,5.719764754123027,-4.863212571907803,5.342873777873132,1.7140368684618128
Logit_Minmaxed,-5.121740246186614,-1.0382422854023858,-0.5769449772174778,-0.010500315794916473,-0.09272637823671537,-3.397644118414746,-0.0042763898341419,3.4955165016004655,-0.008124464936403019,-1.521333858925783,0.15894583943359608,5.719764754123027,-4.863212571907803,5.342873777873132,1.7140368684618128
DT_Minmaxed,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
RF_Minmaxed,0.14208952968471994,0.0,0.06783833416048894,0.0,0.07910848600033646,0.467374204092268,0.0,0.0,0.0,0.12223629797856728,0.0,0.04057226374676342,0.08078088433685607,0.0,0.0
SVM_Minmaxed,-5.121740246186614,-1.0382422854023858,-0.5769449772174778,-0.010500315794916473,-0.09272637823671537,-3.397644118414746,-0.0042763898341419,3.4955165016004655,-0.008124464936403019,-1.521333858925783,0.15894583943359608,5.719764754123027,-4.863212571907803,5.342873777873132,1.7140368684618128
