,hinc00,pop00,medrent00,unempden00,carcommuters_00,pernwh00,pag25up00,pnhblk00,phisp00,per_rent_00,pasian00,percol00,TOD,popden00,medhval00
Logit_Raw,-3.878601190857967e-05,-4.1706324221991125e-06,-3.65500590561165e-07,-1.3414784193643051e-08,-5.531775628303258e-10,-5.370367915648608e-10,-3.298383210800334e-10,-2.354077480246596e-10,-1.8067211686414808e-10,-1.5704542312867135e-10,-1.0851618219612656e-10,5.411887846501628e-11,2.1595226266147627e-10,2.565404062929138e-10,3.812557259282395e-06
DT_Raw,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
RF_Raw,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
SVM_Raw,-14.539418734328551,-8.313583716650271,2.003895757129358,0.9794214609004711,-1.2992639130835717,1.9041237514325555,2.7638564070196727,-1.7576166065475751,-1.5466426236810118,0.28191694227923264,-4.563144235235113,3.7047022091910287,0.49851311673770365,1.5079880593337291,3.502929405405929
Logit_Scaled,-1.6025408803417078,-0.6503918162082761,0.2567971342126159,0.04655642418431963,-0.3445994989910696,0.6194274946999301,0.3001968544012627,-0.5669256616319516,-0.3631844667725858,0.0697373629304034,-0.6185599183289465,0.5392945555647568,0.19403791434878895,0.22451237708149285,0.40201609177922515
DT_Scaled,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,-14.539418734328551,-8.313583716650271,2.003895757129358,0.9794214609004711,-1.2992639130835717,1.9041237514325555,2.7638564070196727,-1.7576166065475751,-1.5466426236810118,0.28191694227923264,-4.563144235235113,3.7047022091910287,0.49851311673770365,1.5079880593337291,3.502929405405929
Logit_Minmaxed,-14.539418734328551,-8.313583716650271,2.003895757129358,0.9794214609004711,-1.2992639130835717,1.9041237514325555,2.7638564070196727,-1.7576166065475751,-1.5466426236810118,0.28191694227923264,-4.563144235235113,3.7047022091910287,0.49851311673770365,1.5079880593337291,3.502929405405929
DT_Minmaxed,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.15282992610490934,0.3152933899246171,0.0,0.0,0.1883646625642352,0.0,0.0,0.0,0.0,0.3435120214062384,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,-14.539418734328551,-8.313583716650271,2.003895757129358,0.9794214609004711,-1.2992639130835717,1.9041237514325555,2.7638564070196727,-1.7576166065475751,-1.5466426236810118,0.28191694227923264,-4.563144235235113,3.7047022091910287,0.49851311673770365,1.5079880593337291,3.502929405405929
