,hinc00,medhval00,pop00,medrent00,unempden00,carcommuters_00,pernwh00,pnhblk00,phisp00,pag25up00,pasian00,percol00,per_rent_00,TOD,popden00
Logit_Raw,-1.4895840909607813e-05,-1.0116018040490501e-05,-3.5564932280656715e-06,-8.108813929890765e-08,-2.30972780414616e-08,-6.414971574284962e-10,-2.8768981360188684e-10,-2.1218335162824276e-10,-1.0535151948301622e-10,-7.237688673488651e-11,4.127398847752922e-11,1.436681560611623e-10,1.7229316930602433e-10,5.836244286561508e-10,5.5111671408683736e-09
DT_Raw,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
RF_Raw,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
SVM_Raw,3.0664043804997734,-11.498673003129822,-7.44304965947217,-0.34902321215041493,-1.1992649712331689,-4.475512266402842,-4.169730475871235,3.810431380044689,3.036339738529457,2.622269778230853,3.6994776930662963,-1.5037593746222755,3.7998535812288803,0.5867361493344031,2.9608631534717555
Logit_Scaled,0.33825396988382816,-1.3198893860773384,-0.5830392690470275,-0.044751530909331566,-0.05722073832915144,-1.1873990514394093,-1.357532708356774,1.2299396213457643,0.7139029933967787,0.2845601870087308,0.5028408801046108,-0.2188984565809704,0.9479163581392548,0.22842373125286652,0.44191434947369373
DT_Scaled,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
RF_Scaled,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
SVM_Scaled,3.0664043804997734,-11.498673003129822,-7.44304965947217,-0.34902321215041493,-1.1992649712331689,-4.475512266402842,-4.169730475871235,3.810431380044689,3.036339738529457,2.622269778230853,3.6994776930662963,-1.5037593746222755,3.7998535812288803,0.5867361493344031,2.9608631534717555
Logit_Minmaxed,3.0664043804997734,-11.498673003129822,-7.44304965947217,-0.34902321215041493,-1.1992649712331689,-4.475512266402842,-4.169730475871235,3.810431380044689,3.036339738529457,2.622269778230853,3.6994776930662963,-1.5037593746222755,3.7998535812288803,0.5867361493344031,2.9608631534717555
DT_Minmaxed,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
RF_Minmaxed,0.0,0.36887415409443286,0.0,0.0,0.0,0.38201307264230283,0.0,0.0,0.06466107605995668,0.024718445654486172,0.037049688242083684,0.0,0.12268356330673781,0.0,0.0
SVM_Minmaxed,3.0664043804997734,-11.498673003129822,-7.44304965947217,-0.34902321215041493,-1.1992649712331689,-4.475512266402842,-4.169730475871235,3.810431380044689,3.036339738529457,2.622269778230853,3.6994776930662963,-1.5037593746222755,3.7998535812288803,0.5867361493344031,2.9608631534717555
