,hinc00,pop00,medrent00,popden00,carcommuters_00,pernwh00,pag25up00,per_rent_00,pnhblk00,phisp00,pasian00,percol00,TOD,unempden00,medhval00
Logit_Raw,-2.8184332452303977e-05,-3.5934683029240757e-06,-6.606769436602757e-07,-5.14721656421708e-09,-5.64496013148639e-10,-5.51469766107189e-10,-3.9050200723674873e-10,-2.8029002949337416e-10,-2.4796252724610485e-10,-1.7458920216604992e-10,-1.0716684707493193e-10,4.204390825742183e-11,1.928041607720347e-10,8.245508192799952e-09,1.7045506173403851e-06
DT_Raw,0.0,0.14692819690037914,0.457247679472788,0.0,0.12908936695035042,0.10471935220848762,0.0,0.16201540446799495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Raw,0.0,0.2516475491088668,0.45724767947278794,0.0,0.1290893669503504,0.0,0.0,0.16201540446799492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Raw,6.552108958176713,-7.368257019522429,-13.447557399556176,0.06119139003396213,-1.415326847333671,0.14951588818389555,1.7592321180645605,0.9450909016640217,-0.09961876203432529,0.47288452894657085,-2.3450906196983414,3.793791611547513,0.6615956894934977,0.516142326948495,1.5529759218679575
Logit_Scaled,0.7216745983399765,-0.5770215380531708,-1.7154492027616333,0.009138814319480073,-0.3756044403009201,0.04862596314169915,0.1911567255371794,0.23583107519265317,-0.03216079823169589,0.11048400066397492,-0.31728762842818947,0.5517889325407691,0.25750854700177356,0.024543685727344174,0.17817134766698203
DT_Scaled,0.0,0.14692819690037914,0.457247679472788,0.0,0.12908936695035042,0.10471935220848762,0.0,0.16201540446799495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Scaled,0.0,0.2516475491088668,0.45724767947278794,0.0,0.1290893669503504,0.0,0.0,0.16201540446799492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Scaled,6.552108958176713,-7.368257019522429,-13.447557399556176,0.06119139003396213,-1.415326847333671,0.14951588818389555,1.7592321180645605,0.9450909016640217,-0.09961876203432529,0.47288452894657085,-2.3450906196983414,3.793791611547513,0.6615956894934977,0.516142326948495,1.5529759218679575
Logit_Minmaxed,6.552108958176713,-7.368257019522429,-13.447557399556176,0.06119139003396213,-1.415326847333671,0.14951588818389555,1.7592321180645605,0.9450909016640217,-0.09961876203432529,0.47288452894657085,-2.3450906196983414,3.793791611547513,0.6615956894934977,0.516142326948495,1.5529759218679575
DT_Minmaxed,0.0,0.2516475491088668,0.45724767947278794,0.0,0.1290893669503504,0.0,0.0,0.16201540446799492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF_Minmaxed,0.0,0.2516475491088668,0.45724767947278794,0.0,0.1290893669503504,0.0,0.0,0.16201540446799492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM_Minmaxed,6.552108958176713,-7.368257019522429,-13.447557399556176,0.06119139003396213,-1.415326847333671,0.14951588818389555,1.7592321180645605,0.9450909016640217,-0.09961876203432529,0.47288452894657085,-2.3450906196983414,3.793791611547513,0.6615956894934977,0.516142326948495,1.5529759218679575
